test_pcntl	year2	year3	year4	year5	year6	year7	year8	year9	year10	year11	year12	year13	year14	year15	momrace1	momrace2	mage	mom_grade	momtest	spouse_yn	spouse_age	spouse_grade	csex2	childage	family_size	fincome	cpubid	momid
15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	24	11	19	0	0	0	0	8	2.19722	-.5907019241	234702	2347
48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	12	12	0	0	0	0	11	1.38629	-.5867855085	107001	1070
78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	12	66	0	0	0	0	7	1.09861	-.584664617	449601	4496
54	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	31	12	3	0	0	0	1	8	1.38629	-.575782804	826902	8269
64	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	39	11	7	1	38	8	1	6	1.60944	-.5733861157	1053804	10538
59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	12	48	0	0	0	0	10	1.09861	-.5678574986	344601	3446
68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	12	23	1	33	15	1	8	1.60944	-.5678574986	868501	8685
34	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	37	10	13	0	0	0	0	8	1.09861	-.5493316934	590603	5906
62	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	31	9	3	0	0	0	0	8	1.09861	-.5491794596	39702	397
51	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	42	12	13	0	0	0	1	7	1.38629	-.5433739552	4303	43
94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	11	6	0	0	0	1	10	1.09861	-.5431648861	546501	5465
87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	11	6	0	0	0	1	8	1.09861	-.5431648861	546502	5465
52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28	14	18	0	0	0	1	12	.693147	-.5411344285	709701	7097
68	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	12	1	0	0	0	1	6	2.07944	-.536909367	784901	7849
84	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	42	9	1	0	0	0	1	7	.693147	-.5323721396	17201	172
2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	12	35	0	0	0	0	9	1.60944	-.5308303209	364801	3648
75	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	34	12	13	0	0	0	0	6	1.09861	-.5118352836	221202	2212
85	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	40	18	75	0	0	0	0	8	.693147	-.5052345996	569001	5690
44	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	38	10	44	1	39	12	0	7	1.60944	-.5001356539	422003	4220
11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	42	10	11	0	0	0	1	11	0	-.4896177109	821005	8210
11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	44	9	8	0	0	0	0	8	1.09861	-.4698730683	521604	5216
83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	12	71	0	0	0	0	9	1.09861	-.4575094415	202101	2021
65	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	26	12	12	1	31	12	1	7	1.38629	-.456241464	834501	8345
82	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	41	9	13	0	0	0	0	8	1.60944	-.4524672611	745903	7459
82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27	12	25	1	43	13	0	6	1.09861	-.450074463	992201	9922
92	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	37	14	23	0	0	0	0	6	1.09861	-.4412719021	505902	5059
65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23	12	4	0	0	0	1	9	1.09861	-.4353683156	143801	1438
43	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	9	7	0	0	0	1	8	1.38629	-.4303300822	124401	1244
16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	30	10	7	0	0	0	1	8	1.60944	-.4295373037	239603	2396
24	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	43	13	15	0	0	0	0	8	1.60944	-.4291357655	75904	759
44	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	11	4	0	0	0	0	7	1.09861	-.4251071611	121301	1213
87	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	35	9	35	1	36	12	1	7	1.79176	-.4227576167	1219404	12194
68	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	11	3	0	0	0	1	6	2.07944	-.4210991397	955801	9558
27	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	43	11	4	0	0	0	0	9	1.60944	-.4190854296	164902	1649
12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27	8	6	0	0	0	1	9	1.94591	-.4184360223	141502	1415
53	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	37	12	2	0	0	0	0	7	1.09861	-.4180932313	744602	7446
66	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	39	12	4	0	0	0	1	7	1.09861	-.4165885494	417803	4178
15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	39	10	23	0	0	0	1	8	1.38629	-.4094460653	239803	2398
58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	12	8	0	0	0	1	7	.693147	-.406589351	332501	3325
2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	41	12	13	0	0	0	0	9	1.09861	-.4063300031	706402	7064
1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	43	9	2	1	39	12	0	13	1.60944	-.3910645589	22803	228
3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	42	9	2	1	39	12	1	10	1.60944	-.3910645589	22804	228
1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	42	9	2	1	39	12	0	14	1.60944	-.3910645589	22802	228
15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	36	12	3	0	0	0	0	8	1.60944	-.3909665061	826903	8269
39	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	41	10	8	0	0	0	1	8	2.07944	-.385069438	265507	2655
32	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	46	12	13	0	0	0	1	8	1.38629	-.3822849346	4304	43
56	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	31	12	18	0	0	0	1	6	1.38629	-.3797757941	718302	7183
61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	12	30	0	0	0	1	7	.693147	-.3731134218	83001	830
12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	34	10	9	0	0	0	0	11	1.09861	-.3718423816	419905	4199
50	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	38	12	1	0	0	0	0	7	1.79176	-.3647472506	131302	1313
27	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	31	8	5	1	30	6	1	8	1.38629	-.358757142	1007202	10072
42	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	31	8	5	1	30	6	1	9	1.38629	-.358757142	1007201	10072
84	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	34	12	80	1	36	12	0	7	1.79176	-.3586311254	469004	4690
