cpubid	momid	nonwhite	mage	mom_grade	momtest	csex2	childage	year2	year3	year4	year5	year6	year7	year8	year9	year10	year11	year12	year13	year14	year15	spouse_yn	spouse_age	spouse_grade	family_size	hincome	test_pcntl
182903	1829	1	37	13	9	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	42
546201	5462	0	26	12	11	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	42
323601	3236	0	41	12	50	1	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	.693147	0	94
474101	4741	0	23	9	5	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82
276903	2769	1	35	11	4	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	.693147	0	2
227101	2271	1	34	12	16	1	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	58
77002	770	0	28	11	27	1	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	22
1197903	11979	1	36	12	16	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	34	11	1.79176	0	28
983102	9831	1	51	16	32	1	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	.693147	0	54
749702	7497	1	40	16	7	1	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	.693147	0	69
1018102	10181	1	33	12	10	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.60944	0	34
1018101	10181	1	33	12	10	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.60944	0	44
956702	9567	1	36	13	11	1	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	40
851002	8510	1	22	12	19	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07944	0	93
851001	8510	1	22	12	19	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07944	0	84
861402	8614	1	33	9	8	1	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	82
76401	764	1	24	12	21	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60944	0	68
519501	5195	0	26	12	52	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	54
1255801	12558	1	39	11	1	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	.693147	0	62
275702	2757	0	34	9	8	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	73
625803	6258	1	34	9	11	1	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60944	0	32
1038302	10383	1	34	6	2	1	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	56
1038301	10383	1	34	6	2	0	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	27
847701	8477	1	28	12	8	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	38
1012502	10125	1	42	14	8	1	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.09861	0	36
795101	7951	1	42	12	16	1	11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	.693147	0	76
1219105	12191	1	34	10	8	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2.07944	0	7
1219106	12191	1	34	10	8	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2.07944	0	47
421202	4212	1	27	14	22	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	34	16	1.79176	0	79
421201	4212	1	28	14	22	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	34	16	1.79176	0	80
392901	3929	0	28	12	29	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	47
119901	1199	0	28	12	29	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	74
781401	7814	1	24	13	21	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	49
744601	7446	1	35	12	2	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	1
508903	5089	1	47	11	3	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1.09861	0	74
917401	9174	1	28	12	38	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	77
1214603	12146	1	36	11	13	1	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	80
864901	8649	1	33	12	5	1	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	40
717003	7170	1	40	12	7	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
182904	1829	1	43	13	9	1	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.09861	0	61
898501	8985	1	27	13	8	1	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	62
139102	1391	1	27	10	3	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	36
640801	6408	1	42	12	3	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2.30259	0	7
640802	6408	1	42	12	3	1	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2.30259	0	5
987401	9874	1	33	11	1	1	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	82
265103	2651	1	43	11	35	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1.09861	0	81
122602	1226	0	32	10	13	1	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	74
640502	6405	1	42	12	13	0	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1.09861	0	70
