"C0000100","C0000200","C0005300","C0005400","C0005500","C0005700","C0005701","C0005702","C0007000","C0054101","C0057501","C0058701","C0059901","C0061100","C0061112","C0061116","C0061120","C0061122","C0061124","C0061126","C0061128","C0061130","C0061132","C0093100","C0093110","C0093200","C0093800","C0099300","C0099310","C0099400","C0100000","C0105500","C0105510","C0105600","C0106200","C0111700","C0111710","C0111800","C0112400","C0119400","C0120000","C0120010","C0120100","C0125800","C0126400","C0126500","C0126600","C0127617","C0127623","C0127624","C0127625","C0127917","C0127923","C0127924","C0127925","C0128017","C0128023","C0128024","C0128025","C0580600","C0800100","C0999300","C1199300","C1508300","C1565200","C1800600","C1988000","C1988500","C1988600","C1988700","C2494000","C2494500","C2494600","C2494700","C2504200","C2521800","C2522300","C2522400","C2522500","C2532700","C2792300","C2792800","C2792900","C2793000","C2803500","C3101800","C3102300","C3102400","C3102500","C3112000","C3602400","C3604100","C3604600","C3604700","C3604800","C3615700","C3982400","C3984100","C3984600","C3984700","C3984800","C3994300","C5526200","C5528000","C5528500","C5528600","C5528700","C5538300","C5802500","C5804300","C5804800","C5804900","C5805000","C5814100","Y2267000","Y3299900"
595601,5956,2,1,9,1981,-7,-7,17,9,11,14,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,-7,-7,4,0,-7,-7,5,0,-7,-7,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,512,-7
595602,5956,2,2,1,1989,-7,-7,25,9,11,14,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,-7,-7,4,0,-7,-7,5,0,-7,-7,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,512,-7
595701,5957,2,2,10,1979,-7,-7,15,9,11,11,11,11,11,12,12,12,12,11,11,11,11,0,-7,-7,6,0,-7,-7,3,0,-7,-7,3,0,-7,-7,4,4,0,-7,-7,4,0,-7,-7,4,0,-7,-7,4,0,-7,-7,4,1,32,12,47,11,1,7,-7,-7,-7,3,0,-7,-7,2,0,-7,-7,-7,3,0,-7,-7,-7,2,0,-7,-7,-7,2,0,-7,-7,-7,11,2,0,-7,-7,-7,11,2,0,-7,-7,-7,11,2,0,-7,-7,-7,11,1,0,-7,-7,-7,512,-7
595702,5957,2,1,7,1984,-7,-7,20,9,11,11,11,11,11,12,12,12,12,11,11,11,11,0,-7,-7,6,0,-7,-7,3,0,-7,-7,3,0,-7,-7,4,4,0,-7,-7,4,0,-7,-7,4,0,-7,-7,4,0,-7,-7,4,1,32,12,-7,-7,56,60,35,21,26,3,0,-7,-7,2,0,-7,-7,-7,3,0,-7,-7,-7,2,0,-7,-7,-7,2,0,-7,-7,-7,11,2,0,-7,-7,-7,11,2,0,-7,-7,-7,11,2,0,-7,-7,-7,11,1,0,-7,-7,-7,512,-7
596301,5963,1,1,4,1989,-7,-7,24,8,10,11,11,11,11,11,11,11,11,11,11,11,11,0,-7,-7,4,0,-7,-7,4,0,-7,-7,4,0,-7,-7,4,1,0,-7,-7,4,0,-7,-7,4,0,-7,-7,2,0,-7,-7,2,0,-7,-7,-7,-7,-7,-7,-7,44,27,2,0,-7,-7,2,0,-7,-7,47,2,0,-7,-7,40,3,0,-7,-7,-7,3,0,-7,-7,-7,12,3,0,-7,-7,-7,12,3,0,-7,-7,-7,12,3,0,-7,-7,-7,12,2,0,-7,-7,-7,512,-7
596302,5963,1,2,8,2002,-7,-7,37,8,10,11,11,11,11,11,11,11,11,11,11,11,11,0,-7,-7,4,0,-7,-7,4,0,-7,-7,4,0,-7,-7,4,1,0,-7,-7,4,0,-7,-7,4,0,-7,-7,2,0,-7,-7,2,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,0,-7,-7,2,0,-7,-7,-7,2,0,-7,-7,-7,3,0,-7,-7,-7,3,0,-7,-7,-7,12,3,0,-7,-7,75,12,3,0,-7,-7,85,12,3,0,-7,-7,71,12,2,0,-7,-7,-3,512,-7
596501,5965,2,1,5,1977,-7,-7,15,11,12,12,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,8,0,-7,-7,4,0,-7,-7,4,0,-7,-7,5,6,0,-7,-7,5,0,-7,-7,4,0,-7,-7,4,0,-7,-7,5,0,-7,-7,65,69,57,39,-7,-7,-7,5,0,-7,-7,5,0,-7,-7,-7,5,0,-7,-7,-7,3,0,-7,-7,-7,2,0,-7,-7,-7,12,2,0,-7,-7,-7,12,2,0,-7,-7,-7,12,2,0,-7,-7,-7,12,3,1,63,12,-7,512,-7
596502,5965,2,2,2,1980,7,1992,17,11,12,12,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,8,0,-7,-7,4,0,-7,-7,4,0,-7,-7,5,6,0,-7,-7,5,0,-7,-7,4,0,-7,-7,4,0,-7,-7,5,0,-7,-7,-7,64,23,-7,-7,-7,-7,5,0,-7,-7,5,0,-7,-7,-7,5,0,-7,-7,-7,3,0,-7,-7,-7,2,0,-7,-7,-7,12,2,0,-7,-7,-7,12,2,0,-7,-7,-7,12,2,0,-7,-7,-7,12,3,1,63,12,-7,512,-7
596503,5965,2,1,5,1981,-7,-7,19,11,12,12,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,8,0,-7,-7,4,0,-7,-7,4,0,-7,-7,5,6,0,-7,-7,5,0,-7,-7,4,0,-7,-7,4,0,-7,-7,5,0,-7,-7,-3,54,42,11,14,-7,-7,5,0,-7,-7,5,0,-7,-7,-7,5,0,-7,-7,-7,3,0,-7,-7,-7,2,0,-7,-7,-7,12,2,0,-7,-7,-7,12,2,0,-7,-7,-7,12,2,0,-7,-7,-7,12,3,1,63,12,-7,512,-7
596504,5965,2,1,1,1985,-7,-7,22,11,12,12,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,8,0,-7,-7,4,0,-7,-7,4,0,-7,-7,5,6,0,-7,-7,5,0,-7,-7,4,0,-7,-7,4,0,-7,-7,5,0,-7,-7,-7,-7,-7,51,68,31,21,5,0,-7,-7,5,0,-7,-7,-7,5,0,-7,-7,-7,3,0,-7,-7,-7,2,0,-7,-7,-7,12,2,0,-7,-7,-7,12,2,0,-7,-7,-7,12,2,0,-7,-7,-7,12,3,1,63,12,-7,512,-7
